,review,sentiment
28033,"No spoilers here but I have been a fan since Waking the Dead started but the last series, of which only 3 have been on so far is awful. The stories bear no resemblance to the original idea of the series. I found these 3 in the last series jaw droppingly ludicrous. As a BBC licence payer, after the show I rang BBC complaints to pass on my disappointment. I'm amazed that actors of the calibre of Trevor Eve and Sue Johnstone didn't object to the story lines. These actors have been with these characters for 8 seasons, surly they can see it's lost all direction. It's a good job it is the last series or the next series may start with the team investigating the death of Father Christmas!<br /><br />Paul Bentley, West Yorkshire, England.",negative
49149,"Although it is more of a kids movie, it still holds its own, especially when compared to the more recent assembly line animated films being made. The music is fantastic!! I don't care how old you are, you will still find yourself rockin to ""Girls of Rock and Roll"" and Diamond Dolls."" Definatly a must for animation lovers.",positive
909,"I had never seen a film by John Cassavetes up until two years ago, when I first saw THE KILLING OF A Chinese BOOKIE in a Berlin cinema, which I found interesting, to put it diplomatically, but not so special, I instantly wanted to see more of his work. Since then, I tried - with an emphasis on tried - watching his other work, SHADOWS in particular. I must admit, it took me a a while before I actually enjoyed the film. At first the unpolished, raw and improvised way Cassavetes it was shot, put me off somewhat and I thought of it as an original - absolutely - but flawed and dated experiment. But now, upon reviewing, these little imperfections make it look so fresh, even today.<br /><br />Shot on a minimal budget of $40,000 with a skeleton six person crew, SHADOWS offers an observation of the tensions and lives of three siblings in an African-American family in which two of the three siblings, Ben (Ben Carruthers) and Lelia (Lelia Goldoni), are light-skinned and able to pass for white. Cassavetes demanded that the actors retain their real names to reflect the actual conflicts within the group but saw the film as being concerned with human problems as opposed imply to racial ones. Cassavetes shot the film in ten minute takes and jagged editing, a reaction against 'seamless' Hollywood production values. Cassavetes main inspiration - at least in the cinematic style the film was shot - were the Italian neo-realists whilst also professing admiration for Welles' pioneering spirit. The use of amateurs and improvisation might resemble some of the Italian neo-realist directors, but with his bebop score by Charles Mingus ans Shafi Hadi, the film feels very different, very American, unlike anything made before really. <br /><br />The song with the feathered girls, ""I feel like a lolly-pop"" (or something) feels like light years back to me, ancient history. But no matter how dated it might look, it still makes a delightful time capsule of late Fifties New York today. I think it's this is one of the first films made aspiring filmmakers realize they could shoot an independent film, without Hollywood, improvised and without a real budget. Seymour Cassel, who acted and was involved in SHADOWS, claims it was Jules Dassin's THE NAKED CITY (1948) that was the first and inspired them all, but I think this was the one that really opened the eyes of aspiring independent American filmmakers.<br /><br />Camera Obscura --- 8/10",positive
39601,"This is 2009 and this way underrated gem has lost nothing of the power it had 31 years ago. It connects a pretty wide variety of different characters and stories without appearing to be cluttered.<br /><br />Clothes and music might have changed over time, but in the end this is a story that will never lose its up-to-dateness. And especially this movie does the job pretty well. Of course it is cheesy at times, but very touching as well.<br /><br />Jodie Foster's performance is striking, and it shows that she is really a natural born actress who showed her true potential especially in her earlier movies.<br /><br />Don't miss this one.",positive
39972,"Another fantastic film from a country, where due to decades of oppression from fundamentalist regimes, has no problems in creating passionate subject matter. Panahi takes a different approach this time around with a blend of ironic comedy and an endearing, non-professional cast. While still getting across his message of what he sees as being inherently wrong with his country, he does so without the need of a heavy storyline. It is a positive take on a country, in particular its people, that the Iranian population desperately need. The greatest pity is it won't be released domestically. The insular, paranoid Iranian government assert that this fine film maker is only successful overseas because he is part of a global conspiracy to embarrass them. After growing up amid revolution and watching the academics, artists and educated 'disappear' over the last 25 years he shows great bravery in continuing to put his work out there. The realism achieved by shooting at the actual world cup qualifier really transports you to the event. The fact he shot it on 35mm is amazing as most would only attempt this project using a digital format. It looks fantastic. His insistence in only using non-professional actors also really works in this film. Fine performances all round. After watching many films showing the problems Iran has and also the news media reporting the facts we can tend to demonise the people as well as the government. This film does the opposite. It shows us they still love the same things and that by laughing at themselves and the absurd rules of sharia law that maybe a change for the better isn't too far away. Some call Panahi a feminist film maker but I think he just fights for the most oppressed demographic in Iran. Young, independent women.",positive
17182,"I laughed so much when I saw this film I nearly soiled myself !. Awful acting, laughable effects (super imposed explosions), and dodgy slow motion fighting.<br /><br />One of the worst films I've ever seen !.",negative
16057,"This film is a powerful commentary on family life in North America today. The story is so well constructed, it almost feels like its happening across the street, right now! If you are connected with your family and community in any way, this film will grab you and transport you to the Travis' home and not allow you to leave until the credits are done.<br /><br />Our imaginary heroes, through a myriad of innocent circumstances, often unwittingly, lead us down a path of sorrow, confusion and isolation. The Travis family, after a terrible tragedy, invite each of us; father, mother, brother and sister, into their respective lives to share their experience in a dynamic set of circumstances that just doesn't quit. We see all of the above and eventually the joy, in powerful performances by the major players and the rest of the cast, making this film a movie-goers absolute treasure.<br /><br />In a film so well done as this, it is usually difficult to to find something special, but Sigourney Weaver's portrayal of Sandy Travis was outstanding. I would be surprised if others didn't recognize it as such.<br /><br />Clearly a 10. Well done!",positive
27735,"I had been looking forward to seeing this film for a long time, after seeing ""Return to Paradise,"" which I found to be gritty. I was so disappointed. The most realistic thing about it was the unpredictable ending which I think was partly stolen from ""Return to Paradise."" <br /><br />Maybe I was expecting too much. <br /><br />On the positive side Danes, Beckinsale and Pullman were fantastic in their roles. Although I didnt like Danes's character and first and found her very annoying. <br /><br />I couldnt see anything realistic about the film. It could of been done so much better, for example there could of been more emphasis on the prison conditions and the sheer horror. It was too cheery a movie to be realistic. There could also of been more action and tension<br /><br />The best thing about this film is the ""tragic"" ending. I couldnt of predicted that. But by that time I really didnt care what happened to them.<br /><br />3/10",negative
36332,"I never was an avid viewer of ""Crocodile Hunter"", but did occasionally see an episode, or a bit of an episode, and when the news spread about Steve Irwin's death from a stingray attack in 2006, it certainly caught my attention. This movie, with Steve and his wife, Terri, playing themselves, but in a fictional story, was released in 2002, but I didn't hear of it until several years later, and even after that, it took me a while to get around to seeing it. Well, now I have seen it, and after looking here first (more than once), and seeing its rating, I was not surprised at how unimpressive it turned out to be, though it could have been a BIT better. Apparently, it's supposed to be a comedy, so a major problem with it is that it isn't very funny at all.<br /><br />A U.S. satellite beacon falls down from space and lands in Australia, where it is swallowed by a crocodile! While Steve and Terri Irwin are on a mission to capture this crocodile from a place where it terrorizes the cattle on a ranch owned by the crazy Brozzie Drewitt, and are unaware of what's inside it, two CIA agents are sent to Australia to retrieve the beacon! The agents are assisted by Jo Buckley, and the ranch owner and her dogs might make the mission more difficult for them! On Steve and Terri's mission, they face other types of dangerous wildlife, not just the crocodile, and since they have no clue that the croc has anything unusual inside it, when Steve sees the CIA agents after them, he mistakes them for poachers! <br /><br />Not only did I not laugh once while watching this film, the only part that really made me smile was Steve Irwin using a big snake to scare off one of the CIA agents. Apart from that, I don't think I found anything even mildly amusing. It's also a bit of an incoherent mess, switching back and forth from the Australian Outback to the CIA headquarters, and it seems like clips from ""Crocodile Hunter"" and clips from an action thriller (or something like that) put together for some reason. Also added to that mix are the ranch scenes, which also seem to be from somewhere else, and as funny as Brozzie Drewitt, played by Magda Szubanski, is supposed to be, she's not. At one point, we see her farting, so we have a fart joke, a MAJOR cliché in modern comedy! Are they SO hard to resist?! I also found the typical ""Crocodile Hunter"" scenes, with Steve wrestling crocodiles and holding other dangerous creatures and talking about them to viewers, to be tedious, but I guess the fact that I was never a devout fan of the show didn't help.<br /><br />Steve Irwin was admired by many as a conservationist, and is sadly missed by them, while there are also those who say he messed with nature and had it coming to him. No matter which side you're on, ""The Crocodile Hunter: Collision Course"" is not a well crafted movie. I'm sure it does help if you're a big Steve Irwin fan, but even if you are, there's no guarantee that you would like this movie, as some fans clearly haven't been impressed. In fact, it seems that some of them have found this movie to be worse than I have, so maybe it WON'T help. Like I said, there's no guarantee. I would say whatever you may think of Steve Irwin and his show, this movie was unnecessary. The attempt to combine what is usually seen in ""Crocodile Hunter"" with a fictional story unfortunately failed, and a viewer may find that this film seems longer than ninety minutes!",negative
20409,"I just can't understand why people are surprised this movie makes no sense. It was never supposed to make sense. (Duh! The writers were completely wasted on Frodis at the time.) It was just supposed to entertain and mock, and it does both wonderfully.<br /><br />The Monkees are good actors. They wouldn't have been hired if they weren't good actors. Mike has a thing for deadpan and darkness, Micky is the best at sheer psychotic comedy, Davy is a Broadway veteran, and Peter actually had people believing he was that dumb in real life. Don't tell me they can't act, because they most definitely can.<br /><br />They can also write. Sure, Jack & Bob get the sole credits, but in reality, they got a big helping hand on that script from the Monkees, who were also in that smoke-filled room.<br /><br />(it is absolutely impossible to spoil this film) Head is very highly symbolic. Among the more memorable elements is the black box, which was actually based on 2 things: the Monkee image that the boys were bound to, and the real black box on the Screen Gems lot where the band was kept between takes. There's so much more symbolism in the movie that I'll just let you watch it and figure it out.<br /><br />The music is awesome. ""Circle Sky"" is one of Papa Nez's best tunes ever, and ""Porpoise Song"" & ""As We Go Along"" will have you enthralled. If you'd rather be weirded out, then ""Ditty Diego"", ""Can You Dig It?"", and ""Long Title"" should be satisfactory, great songs that they are. And then there's ""Daddy's Song"", without a doubt a homage to Davy's Broadway days, and the editing/color scheming for that sequence is superb. (At least for '68.)<br /><br />Oh, For those of you who won't watch a 'PG' film, you're missing out. Especially since Head was originally rated R in 1968. The rating was lowered about TWENTY years later!<br /><br />Now where was I? Ah, yes: ""We were speaking of beliefs. Beliefs and conditioning....""",positive
